2511,480,2724,348
1672,454,1072,216
2220,1089,2720,700
1022,1034,1104,660
2449,1354,2732,956
1877,1513,1156,924
2220,2089,2736,1232
1730,1318,1188,1084
2183,1328,2912,1056
2052,1289,1544,760
3285,822,3596,676
1951,1227,1656,844
3310,1090,3192,1376
1989,1232,1580,956
2943,2154,3216,2328
1948,1442,1576,1192
2648,1308,1580,880
1183,1328,1488,1008
2670,1528,2836,1292
809,1455,768,1036
2629,1318,2884,1908
2659,1059,2892,1212
881,1491,852,1452
2555,1363,2888,1492
978,1448,868,1764
3201,1351,3284,864
1078,1050,940,844
3055,2119,3252,1176
1005,1633,1080,1392
2928,1764,3208,1432
1020,1420,996,1416
3204,1100,3204,1100
1353,1225,1336,1012
3112,1200,3232,1492
2314,1000,1908,892
3018,1486,3252,1768
2379,1614,1804,1164
1798,1403,2820,1324
3197,1338,1228,1344
775,1027,3148,1468
3461,1436,916,1260
2622,1214,3144,1800
3327,1943,3988,1580
1810,1317,1248,1568
2220,1089,2976,1268
3828, 2010, 3816, 1898
1707, 432, 1707, 824
1827, 2342, 1821, 2124
240, 1899, 258, 1675
2713,332,2386,523
2365,318,2534,459
242,1247,153,1723
1320,1524,1518,2124
399,2423,232,2281
3645,1181,3583,1331
2256,117,2177,317
1095,1951,1295,2101
2275,1453,2235,1604
1299,1977,1342,1721
293,1231,437,1048
1738,108,1722,356
2961,1229,3031,629
3569,2136,3659,2390
429,169,729,509
384,2431,322,2241
