1502,800,1988,1660
1877,1282,2048,1496
1630,1949,1400,1620
1758,228,1620,792
1718,563,1816,956
2112,546,816,1036
1492,1635,1284,824
2752,1140,2668,1412
3327,1152,2232,688
2137,1344,2220,1136
2137,1221,1628,764
1547,1189,1896,1404
453, 1201,483, 1410
1760,1110,1304,860
2419,1527,3012,1656
632, 1316,426, 1467
2268,1252,2304,1488
2100,1500,2023,1633
2193,1407,2028,1152
2100,830, 2190,420
2150,609,2044,988
1828,1273,2088,1504
679,1240,816,1668
2068,1352,2148,916
2068,1352,2176,1164
1773,1243,2116,2016
2375,1429,2632,848
2428,1524,2652,1152
2132,1720,2620,556
1539,924,1344,880
1529,1004,1416,1112
1728,761,1320,604
1669,1068,1468,1668
1790,1079,1348,784
1583,1052,1428,1388
1842,1208,1708,1380
1898,1205,1732,1636
1816,1131,1640,1100
1951,1058,1892,1068
2058,930,1892,1356
1609,931,1732,1884
2141,627,1936,1880
2002,1331,2548,1172
2035,815,1940,1652
2168,1152,2636,1748
1986, 1520,2106, 1635
1985,1694,2580,1460
3516, 1885,3486, 1689
3522, 1567,3537, 1746
2031, 1801,1974, 1683
3474, 749,1806, 537
1511,664,1216,364
2168,1152,2612,2000
1601,565,1300,988
2608,1665,2704,1112
1440,821,1364,1280
1345,771,1264,688
2332,1753,2404,940
1707, 324, 1707, 324
1827, 342, 1821, 324
2689,1432,2448,1464
2487,1735,2716,836
2352,1992,2488,2028
240, 1899, 258, 1875
2805,1488,2740,1364
1859,2104,1914,2200
2602,1562,2416,1200
2883,1535,2788,1688
2436,1885,2436,1752
2238, 828, 2214, 819
3258,2499,3358,2546
2259, 915, 2259, 864
1962, 1662,2061, 1683
2199, 1209 , 2199, 918
3063,2422,3127,2373
177,374,101,504
2821,2934,2877,2894
2220, 936 , 2259, 927
3810,374,3358,412
3046,113,2993,237
2282,459,2217,239
1478,1698,978,1754
2192,1383,2110,1263
3313,1233,3390,1143
1305,1219,1226,1099
3355,1323,3303,1763
1859,2678,1934,2974
1829,1218,1757,1164
789,2102,926,2051
1018,2652,1232,2600
