3013,1436,3056,312
2718,2328,2556,828
1564,1948,1332,312
3319,1488,3028,632
1597,2194,2548,1136
598,1682,1404,624
4208,1538,2976,936
3469,2333,2532,1416
624,1995,1440,956
-381,2983,768,700
3546,2895,2580,1044
630,3313,1128,1644
118,178,760,988
2000,1500,2628,332
4480,3539,3296,872
526,1904,1200,508
2000,1500,2640,628
4931,1766,3248,1116
3518,1579,3453,1579
1834,2623,1834,2675
667,2516,613,2516
249,484,249,425
1171,986,1240,986
3322,240,3375,240
2330,1593,2330,1537
1020,442,966,442
2126,2966,2185,2920
1693,232,1751,191
1571,1097,1571,1149
303,2903,235,2903
2490,1396,2551,1396
2878,633,2878,680
164,1571,227,1521
2167,2883,2167,2933
3413,1013,3413,1069
1620,2536,1558,2581
3826,701,3894,701
