69,958,121,1057
2888,2114,3157,2465
2455,192,2709,525
2800,1611,3076,2089
2576,2662,2911,3300
536,1463,731,1823
3775,2486,4127,2845
2061,2476,2355,2913
1943,938,2060,1287
1668,2391,1702,2471
2070,537,2291,1037
2888,2283,3100,2694
34,1489,75,1598
271,1230,364,1428
2762,1724,3004,2518
1060,890,1266,1110
1873,1731,2064,2202
1406,1032,1641,1329
1836,1710,1926,1956
1328,2651,1569,3237
2189,1674,2345,1844
3705,1964,3888,2480
2891,2573,3163,2996
2866,338,3059,810
2001,221,2164,560
674,2030,750,2196
174,1769,199,1849
3430,2533,3477,2671
662,1148,1366,1931
1579,1945,1891,2532
1556,1729,1241,2180
642,2675,329,3284
349,247,213,745
3156,516,2840,944
3664,878,3463,1575
2476,2464,1913,3186
1438,1240,1247,1695
1289,630,944,1120
2868,8,2484,431
552,1927,446,2093
2096,2353,2002,2540
3166,2303,2987,2642
375,1294,182,1847
700,1554,471,1959
310,1133,258,1222
2125,1114,1758,1529
3017,1034,2880,1452
680,1086,596,1384
687,2767,327,3170
1446,2792,1341,2899
3538,386,3453,597
3085,2817,3038,2864
1670,601,1190,1090
3467,997,3130,1369
3790,2366,3597,2774
2270,2141,1909,2783
3429,36,3025,537
3662,1815,3478,2044
2064,1498,1930,1828
888,1467,784,1582
1991,0,1639,-358
2448,1847,2269,1565
3359,2008,3015,1538
2790,727,2574,59
2078,1690,1711,1257
3427,1977,3257,1674
2984,2194,2857,1893
3117,930,3061,790
2891,1059,2806,744
1228,2285,1051,2025
215,2930,34,2615
298,1987,137,1406
3833,1197,3491,838
2024,809,1982,673
104,140,15,-63
1716,810,1719,822
2280,1524,2144,1267
3341,1664,3136,1426
3160,2574,2884,1885
1082,565,1003,302
186,742,-61,452
2880,681,2637,64
3609,1808,3339,1501
1345,1714,1184,1209
2579,2382,2510,2266
3169,1833,3041,1672
2394,2836,2154,2570
2011,1132,2025,1180
870,2786,690,2602
2199,2033,2021,1559
3249,2378,3614,2094
2779,1681,3052,1558
3562,499,4053,340
1469,848,1726,765
338,208,638,-24
352,2003,734,1873
3198,2034,3666,1797
3984,1605,4412,1451
1406,1751,1519,1661
1723,2707,1948,2486
3173,81,3331,12
2783,2158,2884,2090
3214,1025,3663,830
2543,2797,2739,2739
669,1328,1047,1108
1895,425,2173,177
2799,620,3052,455
2765,968,3425,408
2769,957,3117,746
1825,2542,1940,2429
1684,688,2271,427
