923,295,979,455
1175,179,1219,312
497,1069,662,1304
1234,2418,1250,2448
1276,2775,1458,3071
3946,1157,3995,1302
997,1167,1081,1432
2743,1619,2882,1791
1714,942,1890,1275
2738,251,2825,433
3403,197,3483,305
2418,2748,2510,2913
2950,2075,3228,2476
686,1880,901,2097
3253,1974,3550,2347
2515,2290,2833,2638
701,1652,839,1887
1825,1411,2079,1709
3736,1656,3775,1770
2927,280,3162,613
2267,2040,2400,2340
360,2799,415,2944
1789,1673,2022,1923
310,1381,432,1720
3541,2504,3589,2624
1382,1823,1477,2027
2869,48,3054,415
688,1965,743,2107
1023,1246,1122,1583
2137,1588,2260,1845
1159,153,1043,450
3612,2847,3532,2976
267,2843,6,3151
2319,293,2218,575
1248,2579,878,3008
1308,286,1122,556
3778,295,3721,475
3076,1373,2791,1681
1793,1122,1724,1312
3669,510,3556,726
3645,541,3653,511
2845,2389,2652,2601
1090,934,953,1182
2693,1940,2526,2249
1048,2469,1003,2560
2663,164,2389,563
2787,2753,2560,3011
3241,1351,3143,1683
1949,2991,1799,3234
3359,1983,3225,2172
1377,2072,1403,2007
2878,723,2653,1006
1737,1065,1661,1225
1535,544,1517,607
1302,604,1225,885
967,1386,873,1569
3859,473,3643,800
1707,1919,1653,1995
1955,2135,1869,2388
2155,2825,2033,2977
2635,1135,2652,1174
339,1681,292,1508
2659,1347,2548,1217
3198,1867,3007,1666
1301,1778,1134,1556
1114,179,1043,0
1408,340,1266,-8
3490,18,3386,-166
3530,1778,3485,1696
1286,1307,1225,1242
1160,925,1033,774
3809,307,3688,141
2945,1374,2725,1025
2195,2150,2114,2051
491,1052,312,745
3347,76,3003,-279
939,2074,921,2053
2388,1607,2326,1385
484,178,338,-142
535,2091,486,1972
3414,1459,3275,1278
397,472,284,238
2203,242,2081,-95
2224,2834,2164,2748
807,2170,650,1952
897,2348,888,2323
2119,951,1907,562
2870,2365,2814,2170
2556,1558,2462,1218
2708,1420,2558,1222
711,2288,1028,2097
3364,2770,3411,2737
2677,954,2803,832
2940,1632,2992,1591
1860,383,1985,262
3720,423,3896,371
2468,1458,2735,1233
1488,2898,1534,2860
3285,635,3562,513
108,1294,529,1082
3099,2184,3457,2014
2725,2913,2801,2880
3432,126,3841,1
2255,2339,2373,2301
488,759,502,753
2167,1291,2554,946
1019,398,1267,292
2888,1379,3011,1300
2030,536,2086,511
111,2952,261,2820
486,1911,594,1863
1639,1211,1932,997
1280,2315,1515,2162
3000,2696,3434,2485
1808,783,1956,705
2202,2948,2315,2893
