2859,858,3036,332
2581,1216,2496,824
1210,534,1344,324
2990,932,3048,624
2548,1136,2536,1112
1268,418,1388,636
2931,936,2964,936
2467,1178,2532,1424
1229,565,1464,948
2804,891,2684,460
661,1118,1292,1012
675,747,780,368
2377,1630,2688,768
753,924,1148,1420
613,851,792,712
2411,1446,2560,1024
1019,1164,1144,1636
1934,562,2956,1200
2731,1889,2520,496
1200,508,1192,516
1934,562,3268,1152
3223,1157,2468,628
1184,547,1156,752
2015,743,2932,1376
2690,1567,2472,892
1205,541,1292,1040
2241,958,2760,876
1526,554,1848,1372
1003,95,1020,996
2398,402,2812,1212
1485,650,1884,1692
969,45,1000,1300
1589,712,1972,1868
1102,300,1296,1272
1973,962,3040,1332
1934,562,712,1264
2013,1366,3028,1612
2239,608,1924,1196
1934,562,772,1564
2984,737,2912,1272
2113,994,3208,296
1423,75,1160,1432
2246,895,2828,1456
1430,516,3588,368
1192,231,948,1412
2324,749,3544,944
2164,794,2852,1068
203,1080,604,656
1283,703,1956,588
1982,912,2844,1300
260,658,1936,852
1658,1093,660,948
3732, 2001, 3708, 2016
3786, 1992, 3777, 1986
3828, 2010, 3816, 1998
1707, 324, 1707, 324
1827, 342, 1821, 324
240, 1899, 258, 1875
1713,332,1086,423
3365,318,2534,359
742,1247,1153,1723
1320,1524,1518,2124
999,2423,1232,2581
3645,1181,3383,1331
2256,117,2177,317
1095,1951,1295,2101
2275,1453,2135,1604
1299,1977,1142,1721
1293,1231,737,1148
1538,108,1722,256
2861,1229,3031,629
3469,2136,3659,2390
629,169,729,209
384,2231,322,2241
