2759,858,3036,332
2681,1216,2496,824
1210,634,1344,324
2990,832,3048,624
2448,1136,2536,1112
1468,418,1388,636
2931,836,2964,936
2467,1278,2532,1424
1129,565,1464,948
2704,891,2684,460
1661,1218,1292,1012
675,647,780,368
2277,1630,2688,768
653,924,1148,1420
613,951,792,712
2211,1446,2560,1024
1319,1164,1144,1636
2634,562,2956,1200
2731,1889,2520,496
1100,508,1192,516
3934,562,3268,1152
3223,1057,2468,628
1184,447,1256,752
2015,1743,2932,1376
2690,1567,2472,892
1205,1541,1292,1040
2241,958,2760,876
1526,1554,1848,1372
1003,195,1020,996
2398,402,2812,1212
1485,650,1884,1692
969,45,1000,1300
1589,712,1972,1868
1102,300,1296,1272
1973,962,3040,1332
1934,562,712,1264
2013,1366,3028,1612
2239,608,1924,1196
1934,1562,1772,1564
2484,1737,2912,1272
2113,994,3208,1296
1423,1175,1160,1432
2246,1895,2828,1456
1430,1516,3588,1368
1192,1231,948,1412
2324,549,3544,944
2164,594,2852,1068
203,1080,604,656
1283,703,1956,588
1982,912,2844,1300
260,658,1936,852
1658,1093,660,948
3732, 2001, 3708, 2016
3786, 1992, 3777, 1986
3828, 2010, 3816, 1998
1707, 324, 1707, 324
1827, 342, 1821, 324
240, 1899, 258, 1875
1713,332,1086,423
3365,318,2534,359
742,1247,1153,1723
1320,1524,1518,2124
999,2423,1232,2581
3645,1181,3383,1331
2256,117,2177,317
1095,1951,1295,2101
2275,1453,2135,1604
1299,1977,1142,1721
1293,1231,737,1148
1538,108,1722,256
2861,1229,3031,629
3469,2136,3659,2390
629,169,729,209
384,2231,322,2241
