710,1882,1084,1710
424,2229,298,2016
1976,2808,2476,2552
584,1156,691,1485
3047,1133,3430,764
758,1275,888,1169
1162,1514,1180,1508
370,2209,378,2182
1510,2648,1349,2452
1364,19,1191,208
912,2284,1065,2199
2547,2221,2380,2401
3358,919,3233,1195
750,2735,559,2395
480,1495,464,1520
1855,346,2145,213
2387,2386,2586,2817
1009,2059,1050,2140
3723,2031,3673,2131
1902,663,1797,274
3631,1880,3531,1641
1874,2582,1872,2577
1856,487,2099,353
1341,2557,1353,2590
24,858,-2,798
1436,2980,1224,3195
3283,1658,3280,1659
2558,495,2354,246
1933,1474,1942,1485
1773,498,2153,339
3834,1394,4185,1239
3075,2250,2847,2491
1491,2312,1671,2220
1579,769,1439,1159
13,2708,228,3078
2321,775,2363,890
224,2972,455,3288
945,1051,1202,835
1511,2701,1692,2605
1656,2823,1845,3094
242,1201,-15,715
3145,598,3107,626
1565,439,1796,287
3020,1933,3196,2112
160,2168,536,1905
3979,2288,4252,2073
1032,160,946,-144
3256,2313,3062,2059
3869,1232,3978,1425
2700,2822,2815,3158
1103,1977,1051,1856
2072,2182,1816,2556
867,590,1332,1076
2123,1892,2068,1916
2949,2783,2811,2936
475,954,356,694
1208,1520,899,1917
1217,2966,1112,3214
1388,403,1361,354
3234,1979,3508,2640
986,1016,1496,814
3962,2171,3617,1711
1934,1814,1834,1671
2392,1633,2679,1353
3950,1322,3898,1202
3601,5,3475,206
937,2636,971,2696
2888,523,2809,281
3410,2839,3499,2997
1731,425,1658,546
2903,76,3400,-291
3521,1278,3502,1228
2522,493,2620,785
1718,2421,1704,2404
3557,43,3935,-145
1335,2336,1150,2695
2589,321,2693,446
2411,605,2167,1092
2540,2924,2290,2610
2858,1975,3243,1604
962,2940,1237,3382
2314,1901,2504,2328
3250,1678,3355,2053
3769,1252,3687,1139
3555,2460,3272,2891
253,1313,344,1443
2016,2469,2547,2303
250,990,-37,1376
1994,1215,1772,1544
2540,1046,2535,1032
3140,2545,3255,2870
196,1382,251,1348
1775,2542,1739,2457
2655,887,3014,628
243,2754,443,3011
2770,2840,2479,2284
3528,859,3806,783
3020,2157,3264,2406
1292,526,1224,327
134,1126,235,1408
980,204,577,921
2643,2921,2415,3271
115,2157,-141,1880
1162,2413,1080,2624
152,1751,178,1793
367,1471,261,1336
106,2737,-119,2457
3201,118,3142,187
1847,2641,2074,2434
471,2436,511,2542
3849,2879,3728,3099
53,1000,-37,882
793,2657,761,2577
