1630,1745,1539,1548
1741,1880,2104,1731
3753,1894,4044,1623
3359,555,3502,831
1394,2632,1300,2449
931,305,865,228
2653,209,2590,294
3559,2178,3667,2509
2177,1258,2220,1394
1595,1733,1344,1459
2071,1811,2322,1704
1274,2286,1132,1949
3229,2826,3400,2659
2094,161,1926,334
2164,2875,2067,2629
1414,2183,1328,2283
3717,1107,3685,1222
3019,289,2928,-38
1155,1118,1055,1310
2849,404,2789,289
1416,2918,1699,2833
3109,1019,3025,1229
558,1442,647,1727
1385,1894,1300,2016
1808,1605,1434,1213
2337,1127,2325,1095
2755,1588,2808,1558
1534,2194,1416,1975
2038,30,2059,-11
1038,1617,924,1884
1547,2453,1688,2380
947,1091,832,1451
2276,2686,2561,2529
2559,2374,2582,2443
103,1702,-75,1440
1802,2105,1997,2048
2247,856,2542,728
1290,2554,1166,2295
579,2047,766,1869
355,647,440,583
1932,836,1578,386
2416,2850,2569,3119
3523,1493,3728,1795
3769,2977,3708,3076
1489,937,1819,799
1839,1884,2150,1717
3598,221,3774,473
1323,1642,1501,1585
1268,2285,1557,2167
2067,504,1762,814
2579,2701,2483,2917
2556,979,2631,1188
1544,2765,1460,2800
582,2310,758,2210
326,848,177,588
2992,2007,2834,1759
1121,1610,1296,1510
1610,431,1416,204
3190,849,3390,664
2803,2059,2656,2300
95,2257,188,2168
2668,97,2903,380
3768,1703,3670,1592
1670,1989,1751,2232
2519,1985,2502,1934
3018,2687,3072,2822
2117,2751,1882,3114
676,1721,556,1381
973,916,898,1176
3515,841,3431,976
3337,2619,3552,2454
2794,791,2781,807
1216,1778,1160,1605
318,2011,254,2153
1502,2494,1557,2472
3921,1634,3792,1387
3575,2172,3692,2476
1899,1989,2195,2289
2206,2228,2321,2378
2021,901,1994,860
1309,2785,1405,2725
3129,749,3488,650
1265,2768,1411,2934
2261,975,2138,749
3703,2640,3656,2733
498,2562,388,2312
3345,821,3602,1250
2572,2908,2380,3125
2970,1884,2963,1871
2132,211,2050,400
973,1252,1206,1620
1442,1701,1198,2012
2055,506,2313,309
2072,542,2425,268
1605,643,1482,422
3006,1061,2896,1283
132,612,231,566
840,2374,732,2668
3666,2938,3826,2838
3748,2898,3755,2905
1122,997,1047,903
461,1047,946,767
3569,2318,3430,2159
566,983,749,905
2556,1868,2399,1618
1607,1183,1518,1276
1266,1734,1707,1581
1446,1296,1445,1295
1766,2814,1936,3038
2398,1469,2605,1763
2762,717,2711,794
1112,1473,1187,1613
2735,2347,3014,2688
2531,2556,2517,2574
857,872,956,793
3944,1989,3682,1685
1848,2365,2291,2213
1354,2431,1295,2504
3919,1590,3764,1781
599,962,529,784
470,1596,399,1506
